LAMMPS data file

-12.5 12.5 xlo xhi
-12.5 12.5 ylo yhi
-25.0 25.0 zlo zhi
2880 atoms
2400 bonds
960 angles

2 atom types
1 bond types
2 angle types


Masses

	1 1.0
	2 1.0

Atoms # angle

	1 1 1 1.3189742821208192 -9.209177382220656 2.500204867619681
	2 1 2 1.3158721118618546 -9.206459964593472 1.5045637778863885
	3 1 2 1.3188226525630478 -9.206878832984554 0.5027181249573272
	4 1 2 1.3204648358031508 -9.206447048018866 -0.49998630749914924
	5 1 2 1.3200764950671497 -9.210358387912947 -1.4963517227678502
	6 1 1 1.3166677517872247 -9.206210421177724 -2.4972926938987547
	7 2 1 0.001498559452686924 10.528429225579671 2.5001415983557274
	8 2 2 0.0006214163824978197 10.529668911547152 1.5032359475578712
	9 2 2 0.0030769255574062695 10.528234177244993 0.504986049678946
	10 2 2 0.00490417669388115 10.529743499396087 -0.49674770361866094
	11 2 2 0.0034422336528547003 10.528260396593579 -1.499324517474888
	12 2 1 0.0036074417009704087 10.528942561086062 -2.4984487906222053
	13 3 1 7.897166018899422 -5.2587104555650965 2.5046702175797813
	14 3 2 7.896525818088808 -5.260300245583193 1.5016093469553797
	15 3 2 7.897708342256261 -5.261468338609306 0.5019580950026408
	16 3 2 7.899188213865287 -5.262022106769175 -0.4968840642765698
	17 3 2 7.895156918823175 -5.258994673998575 -1.4960645084625566
	18 3 1 7.895933689320228 -5.258775473582788 -2.499707159825974
	19 4 1 -1.314108888381482 -2.6308275500339464 2.5022516968332464
	20 4 2 -1.3118078523327739 -2.6304257363234522 1.500260106505322
	21 4 2 -1.3137667144851028 -2.6305863821458746 0.5004537652280956
	22 4 2 -1.3128878117542762 -2.630085466704326 -0.4966400256102182
	23 4 2 -1.3147918964643692 -2.626868381815888 -1.4981744491587758
	24 4 1 -1.3152619972863593 -2.6284334066107222 -2.495364227234661
	25 5 1 11.844307148931474 -9.205753363321021 2.502499479068438
	26 5 2 11.844231406282141 -9.207425248529397 1.5049754825261765
	27 5 2 11.846849981532584 -9.208226090092928 0.5037886442265415
	28 5 2 11.844592376635333 -9.20787975498849 -0.496071071496431
	29 5 2 11.844178542404673 -9.20685389793053 -1.4964442856100513
	30 5 1 11.846765561590962 -9.20995165262307 -2.4963549244146184
	31 6 1 10.530952909116806 2.636418578318044 2.500073531524827
	32 6 2 10.530633989924912 2.6364849225687523 1.5047860508980548
	33 6 2 10.527059609534845 2.6364420914375355 0.5044496777786026
	34 6 2 10.530427658611398 2.63397888698746 -0.4988381354018035
	35 6 2 10.530325192367275 2.6361965981673383 -1.4986693486385385
	36 6 1 10.529010461511794 2.6337927115132933 -2.495344913420094
	37 7 1 1.3159920272401542 -7.89107681112698 2.503071866234745
	38 7 2 1.3159313005097795 -7.891140743241129 1.500079958647618
	39 7 2 1.3195792286959942 -7.892173048488952 0.5046455211039851
	40 7 2 1.3161198861678323 -7.890530255707201 -0.4996665499561645
	41 7 2 1.3175110235782326 -7.8925853484455235 -1.4951696895960795
	42 7 1 1.3186006328953543 -7.893442519139408 -2.4987916214295285
	43 8 1 -3.9429278294493355 0.001129347142086622 2.5006227735291766
	44 8 2 -3.9459267672675935 0.002930615324063664 1.5027704525108663
	45 8 2 -3.9433198671730674 0.002802379760030929 0.501442106072156
	46 8 2 -3.945303939339227 0.004090604854854552 -0.49686746768790124
	47 8 2 -3.942573032839144 0.0018470220554584044 -1.4972369424473935
	48 8 1 -3.944398800044566 0.0042414560413753 -2.4992726323090673
	49 9 1 0.002032551683740633 -3.94281862624432 2.500215334442841
	50 9 2 0.00411353140090751 -3.945291500865775 1.5041490199263905
	51 9 2 4.9772804036459784e-05 -3.94554319026384 0.5003931501858282
	52 9 2 0.0032630728816831923 -3.9459991755596335 -0.4964867396467011
	53 9 2 0.0047190071347104545 -3.946734335541325 -1.4956761085229962
	54 9 1 0.00029732075800169234 -3.945464568511077 -2.4978511296941073
	55 10 1 11.844549510892064 -7.889854530495582 2.503878455940509
	56 10 2 11.843649549971492 -7.893387658177759 1.5043156010209466
	57 10 2 11.846511799021584 -7.892183309577544 0.5017214786548116
	58 10 2 11.8470798498987 -7.893157124378424 -0.4990864381053672
	59 10 2 11.846505753764417 -7.890675165114707 -1.4966605529721433
	60 10 1 11.846897331316786 -7.890108269219191 -2.496258757483491
	61 11 1 0.004303507047738389 1.3170252073858224 2.500706232784505
	62 11 2 0.00335030924657468 1.3193625663674857 1.5008352646439114
	63 11 2 0.00197778636552438 1.3203407525152921 0.5028070038377511
	64 11 2 0.0028916795746313636 1.3167601225486658 -0.4973698887569106
	65 11 2 0.0026171736369746 1.3162341518854432 -1.4950902865343665
	66 11 1 0.002856978002278872 1.3158215180975334 -2.496136753993873
	67 12 1 10.531207118042884 3.9503177711942374 2.5015984081814135
	68 12 2 10.527253328052321 3.950731054222217 1.500975536992284
	69 12 2 10.529204228936273 3.950379616934531 0.5048121154656219
	70 12 2 10.526677115801332 3.949868285170926 -0.49627951260358677
	71 12 2 10.527201923176056 3.9493087547115553 -1.4996855225077252
	72 12 1 10.529945193792562 3.9478072604864303 -2.4980245414582103
	73 13 1 -11.837737650002293 3.949729922736383 2.5045631096682044
	74 13 2 -11.838275677569202 3.9519450408531918 1.5006370150452446
	75 13 2 -11.841737448631243 3.947720052320479 0.5043442714717365
	76 13 2 -11.83893491326116 3.949851279521627 -0.4991822829190176
	77 13 2 -11.838736595969259 3.9489585079918617 -1.4964456006836704
	78 13 1 -11.839803486513558 3.9499057703553553 -2.4960516713377006
	79 14 1 -2.631115219990804 3.9502622135692502 2.500986174736479
	80 14 2 -2.627538263609353 3.949812651233279 1.504943476666839
	81 14 2 -2.630664230745042 3.952183516753254 0.504004585183043
	82 14 2 -2.6291726448855446 3.951436091373531 -0.4969857554737944
